sample_id,source_type,source_name,external_id,label,raw_label,path
recorded_swiping_right_20260901_194455_269175,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_194455_269175.mp4
recorded_swiping_right_20260901_194548_948325,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_194548_948325.mp4
recorded_swiping_right_20260901_194559_121604,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_194559_121604.mp4
recorded_swiping_right_20260901_194840_227484,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_194840_227484.mp4
recorded_swiping_right_20260901_194852_167465,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_194852_167465.mp4
recorded_swiping_right_20260901_194908_307843,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_194908_307843.mp4
recorded_swiping_right_20260901_195218_342847,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_195218_342847.mp4
recorded_swiping_right_20260901_195252_360824,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_195252_360824.mp4
recorded_swiping_right_20260901_195309_220004,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_195309_220004.mp4
recorded_swiping_right_20260901_195317_919985,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_195317_919985.mp4
recorded_swiping_right_20260901_195344_434276,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_195344_434276.mp4
recorded_swiping_right_20260901_195408_074100,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_195408_074100.mp4
recorded_swiping_right_20260901_195419_292704,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_195419_292704.mp4
recorded_swiping_right_20260901_195433_751887,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_195433_751887.mp4
recorded_swiping_right_20260901_195439_752184,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_195439_752184.mp4
recorded_swiping_right_20260901_195500_570645,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_195500_570645.mp4
recorded_swiping_right_20260901_195511_785862,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_195511_785862.mp4
recorded_swiping_right_20260901_195518_565656,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_195518_565656.mp4
recorded_swiping_right_20260901_195538_005282,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_195538_005282.mp4
recorded_swiping_right_20260901_195550_124974,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_195550_124974.mp4
recorded_swiping_right_20260901_195557_984445,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_195557_984445.mp4
recorded_swiping_right_20260901_195608_303589,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_195608_303589.mp4
recorded_swiping_right_20260901_195619_883124,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_195619_883124.mp4
recorded_swiping_right_20260901_195631_582922,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_195631_582922.mp4
recorded_swiping_right_20260901_195715_617121,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_195715_617121.mp4
recorded_swiping_right_20260901_195725_396727,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_195725_396727.mp4
recorded_swiping_right_20260901_195730_676581,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_195730_676581.mp4
recorded_swiping_right_20260901_201000_917100,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_201000_917100.mp4
recorded_swiping_right_20260901_201012_847611,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_201012_847611.mp4
recorded_swiping_right_20260901_201030_727056,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_201030_727056.mp4
recorded_swiping_right_20260901_201059_349760,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_201059_349760.mp4
recorded_swiping_right_20260901_201104_868305,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_201104_868305.mp4
recorded_swiping_right_20260901_201114_888851,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_201114_888851.mp4
recorded_swiping_right_20260901_201148_367264,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_201148_367264.mp4
recorded_swiping_right_20260901_201156_164591,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_201156_164591.mp4
recorded_swiping_right_20260901_201208_760903,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_201208_760903.mp4
recorded_swiping_right_20260901_201241_820095,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_201241_820095.mp4
recorded_swiping_right_20260901_201252_145169,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_201252_145169.mp4
recorded_swiping_right_20260901_201333_595221,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_201333_595221.mp4
recorded_swiping_right_20260901_201340_677084,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_201340_677084.mp4
recorded_swiping_right_20260901_201358_258895,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_201358_258895.mp4
recorded_swiping_right_20260901_201417_395372,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_201417_395372.mp4
recorded_swiping_right_20260901_201453_451795,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_201453_451795.mp4
recorded_swiping_right_20260901_201502_569887,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_201502_569887.mp4
recorded_swiping_right_20260901_201548_231574,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_201548_231574.mp4
recorded_swiping_right_20260901_201555_849097,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_201555_849097.mp4
recorded_swiping_right_20260901_201601_550341,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_201601_550341.mp4
recorded_swiping_right_20260901_201620_526434,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_201620_526434.mp4
recorded_swiping_right_20260901_201626_436465,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_201626_436465.mp4
recorded_swiping_right_20260901_201632_372988,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_201632_372988.mp4
recorded_swiping_right_20260901_201641_756927,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_201641_756927.mp4
recorded_swiping_right_20260901_201650_688148,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_201650_688148.mp4
recorded_swiping_right_20260901_201743_091378,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_201743_091378.mp4
recorded_swiping_right_20260901_201754_428829,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_201754_428829.mp4
recorded_swiping_right_20260901_201806_967231,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_201806_967231.mp4
recorded_swiping_right_20260901_201827_308972,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_201827_308972.mp4
recorded_swiping_right_20260901_201855_870458,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_201855_870458.mp4
recorded_swiping_right_20260901_201908_407517,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_201908_407517.mp4
recorded_swiping_right_20260901_201926_772153,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_201926_772153.mp4
recorded_swiping_right_20260901_201939_063128,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_201939_063128.mp4
recorded_swiping_right_20260901_201950_464246,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_201950_464246.mp4
recorded_swiping_right_20260901_201957_785307,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_201957_785307.mp4
recorded_swiping_right_20260901_202017_884271,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_202017_884271.mp4
recorded_swiping_right_20260901_202039_182975,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_202039_182975.mp4
recorded_swiping_right_20260901_202051_843971,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_202051_843971.mp4
recorded_swiping_right_20260901_202102_223056,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_202102_223056.mp4
recorded_swiping_right_20260901_202119_857258,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_202119_857258.mp4
recorded_swiping_right_20260901_202137_320610,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_202137_320610.mp4
recorded_swiping_right_20260901_202154_896500,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_202154_896500.mp4
recorded_swiping_right_20260901_202201_796974,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_202201_796974.mp4
recorded_swiping_right_20260901_202207_919139,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_202207_919139.mp4
recorded_swiping_right_20260901_202233_296141,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_202233_296141.mp4
recorded_swiping_right_20260901_202240_740087,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_202240_740087.mp4
recorded_swiping_right_20260901_202252_674575,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_202252_674575.mp4
recorded_swiping_right_20260901_202305_099145,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_202305_099145.mp4
recorded_swiping_right_20260901_202317_073698,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_202317_073698.mp4
recorded_swiping_right_20260901_202329_637964,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_202329_637964.mp4
recorded_swiping_right_20260901_202448_204153,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_202448_204153.mp4
recorded_swiping_right_20260901_202454_014751,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_202454_014751.mp4
recorded_swiping_right_20260901_202502_449952,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_202502_449952.mp4
recorded_swiping_right_20260901_202509_735118,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_202509_735118.mp4
recorded_swiping_right_20260901_202517_449890,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_202517_449890.mp4
recorded_swiping_right_20260901_202530_978245,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_202530_978245.mp4
recorded_swiping_right_20260901_202539_240552,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_202539_240552.mp4
recorded_swiping_right_20260901_202546_263265,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_202546_263265.mp4
recorded_swiping_right_20260901_202553_121933,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_202553_121933.mp4
recorded_swiping_right_20260901_202603_457814,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_202603_457814.mp4
recorded_swiping_right_20260901_202608_709319,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_202608_709319.mp4
recorded_swiping_right_20260901_202613_896014,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_202613_896014.mp4
recorded_swiping_right_20260901_202619_082804,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_202619_082804.mp4
recorded_swiping_right_20260901_202630_575887,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_202630_575887.mp4
recorded_swiping_right_20260901_202644_220665,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_202644_220665.mp4
recorded_swiping_right_20260901_202650_036400,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_202650_036400.mp4
recorded_swiping_right_20260901_202703_751358,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_202703_751358.mp4
recorded_swiping_right_20260901_202709_627397,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_202709_627397.mp4
recorded_swiping_right_20260901_202715_501843,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_202715_501843.mp4
recorded_swiping_right_20260901_202721_866526,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_202721_866526.mp4
recorded_swiping_right_20260901_202728_266234,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_202728_266234.mp4
recorded_swiping_right_20260901_202752_378801,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_202752_378801.mp4
recorded_swiping_right_20260901_202802_935896,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_202802_935896.mp4
recorded_swiping_right_20260901_202820_399134,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_202820_399134.mp4
recorded_swiping_right_20260901_202856_754124,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_202856_754124.mp4
recorded_swiping_right_20260901_202926_280108,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_202926_280108.mp4
recorded_swiping_right_20260901_202931_141784,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_202931_141784.mp4
recorded_swiping_right_20260901_202936_899522,video,recorded,,swiping_right,swiping_right,data/raw/recorded/train/swiping_right/swiping_right_20260901_202936_899522.mp4
